9,16
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
diFF,diFF,diFF,diFF,diFF,diFF,diFF,diFF,diFF,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,
grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,
grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,
grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,
grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,grFF,
